traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
FLASHING CONTROL SIGNAL,BLOWING SNOW,DARKNESS,REAR TO FRONT,UNKNOWN,LEVEL,OTHER,HOLES,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",ROAD CONSTRUCTION/MAINTENANCE,4,NONINCAPACITATING INJURY,0,1,7,3,10,13,16,6,5
TRAFFIC SIGNAL,CLEAR,LIGHTED ROAD,TRAIN,DIVIDED - W/MEDIAN (NOT RAISED),LEVEL,ICE,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,"$501 - $1,500","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",6,FATAL,4,1,2,21,5,21,16,4,3
NO CONTROLS,SLEET/HAIL,DARKNESS,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON HILLCREST,MUD,WORN SURFACE,NO INJURY / DRIVE AWAY,N,"OVER $1,500",TEXTING,8,FATAL,15,1,5,0,2,2,16,3,4
UNKNOWN,OTHER,LIGHTED ROAD,SIDESWIPE SAME DIRECTION,"FIVE POINT, OR MORE",CURVE ON HILLCREST,UNKNOWN,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",TEXTING,4,"REPORTED, NOT EVIDENT",6,1,4,13,12,15,1,6,6
RAILROAD CROSSING GATE,CLOUDY/OVERCAST,DARKNESS,ANIMAL,TRAFFIC ROUTE,CURVE ON GRADE,ICE,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",OBSTRUCTED CROSSWALKS,8,NONINCAPACITATING INJURY,6,2,7,12,5,24,12,7,6
POLICE/FLAGMAN,BLOWING SAND,DARKNESS,ANIMAL,DIVIDED - W/MEDIAN BARRIER,LEVEL,ICE,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",UNABLE TO DETERMINE,11,INCAPACITATING INJURY,1,0,1,19,0,13,4,7,10
TRAFFIC SIGNAL,UNKNOWN,DAYLIGHT,TRAIN,UNKNOWN INTERSECTION TYPE,CURVE ON GRADE,ICE,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,1,NO INDICATION OF INJURY,7,0,7,9,5,15,22,5,1
FLASHING CONTROL SIGNAL,CLOUDY/OVERCAST,DAWN,TRAIN,"FIVE POINT, OR MORE",LEVEL,OTHER,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",PASSING STOPPED SCHOOL BUS,4,FATAL,10,0,5,5,7,2,15,3,12
PEDESTRIAN CROSSING SIGN,CLOUDY/OVERCAST,UNKNOWN,PEDESTRIAN,ALLEY,CURVE ON GRADE,UNKNOWN,NO DEFECTS,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",DISREGARDING OTHER TRAFFIC SIGNS,3,INCAPACITATING INJURY,12,0,0,14,15,5,12,2,2
OTHER RAILROAD CROSSING,SEVERE CROSS WIND GATE,LIGHTED ROAD,REAR TO SIDE,OTHER,STRAIGHT ON GRADE,SNOW OR SLUSH,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,11,INCAPACITATING INJURY,2,0,5,12,1,38,13,6,3
OTHER REG. SIGN,CLEAR,DUSK,SIDESWIPE OPPOSITE DIRECTION,RAMP,CURVE ON GRADE,ICE,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",EXCEEDING AUTHORIZED SPEED LIMIT,9,FATAL,8,1,6,0,5,33,6,3,8
TRAFFIC SIGNAL,SLEET/HAIL,DAWN,HEAD ON,Y-INTERSECTION,LEVEL,WET,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",FOLLOWING TOO CLOSELY,1,NO INDICATION OF INJURY,0,1,2,21,7,48,22,6,1
OTHER,RAIN,DUSK,SIDESWIPE OPPOSITE DIRECTION,DRIVEWAY,CURVE ON GRADE,ICE,OTHER,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",CELL PHONE USE OTHER THAN TEXTING,8,"REPORTED, NOT EVIDENT",12,3,7,5,14,13,19,7,1
RAILROAD CROSSING GATE,DIRT,DUSK,REAR TO SIDE,ROUN,CURVE,MUD,WORN SURFACE,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISREGARDING YIELD SIGN,7,INCAPACITATING INJURY,4,3,4,0,6,27,1,3,1
OTHER,OTHER,UNKNOWN,PEDALCYCLIST,RAMP,STRAIGHT ON HILLCREST,MUD,HOLES,NO INJURY / DRIVE AWAY,N,$500 OR LESS,IMPROPER BACKING,2,NO INDICATION OF INJURY,15,3,2,19,3,25,11,3,10
STOP SIGN/FLASHER,FREEZING RAIN/DRIZZLE,DAWN,SIDESWIPE OPPOSITE DIRECTION,DRIVEWAY,STRAIGHT AND LEVEL,ICE,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,$500 OR LESS,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),7,FATAL,0,1,1,16,8,36,6,5,7
BICYCLE CROSSING SIGN,RAIN,LIGHTED ROAD,FIXED OBJECT,"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,MUD,HOLES,NO INJURY / DRIVE AWAY,N,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,3,NONINCAPACITATING INJURY,17,0,5,3,12,5,5,4,7
LANE USE MARKING,SLEET/HAIL,DAYLIGHT,PEDESTRIAN,UNKNOWN,CURVE ON HILLCREST,WET,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",5,NO INDICATION OF INJURY,3,0,6,15,7,42,15,5,6
RR CROSSING SIGN,BLOWING SNOW,UNKNOWN,PEDALCYCLIST,L-INTERSECTION,LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",ROAD CONSTRUCTION/MAINTENANCE,11,INCAPACITATING INJURY,5,3,3,21,2,13,1,6,12
OTHER RAILROAD CROSSING,SNOW,DAYLIGHT,PEDESTRIAN,CENTER TURN LANE,CURVE ON GRADE,MUD,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISREGARDING STOP SIGN,7,"REPORTED, NOT EVIDENT",5,2,7,9,1,30,23,1,7
NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,CURVE,MUD,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,TEXTING,11,NONINCAPACITATING INJURY,18,3,1,6,2,36,8,6,7
LANE USE MARKING,OTHER,UNKNOWN,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,MUD,WORN SURFACE,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),7,INCAPACITATING INJURY,7,2,2,19,10,10,21,3,2
RR CROSSING SIGN,FREEZING RAIN/DRIZZLE,DAWN,PEDALCYCLIST,ROUN,STRAIGHT ON HILLCREST,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISTRACTION - FROM INSIDE VEHICLE,11,INCAPACITATING INJURY,17,1,7,5,11,16,4,5,2
YIELD,SNOW,DARKNESS,SIDESWIPE SAME DIRECTION,CENTER TURN LANE,STRAIGHT ON HILLCREST,DRY,RUT,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,TEXTING,2,NO INDICATION OF INJURY,12,2,3,17,9,2,0,2,12
SCHOOL ZONE,BLOWING SNOW,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,SAND,RUT,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,UNABLE TO DETERMINE,2,NONINCAPACITATING INJURY,0,1,2,9,13,17,0,6,5
NO PASSING,RAIN,DARKNESS,OTHER OBJECT,PARKING LOT,LEVEL,DRY,OTHER,NO INJURY / DRIVE AWAY,N,"OVER $1,500",FOLLOWING TOO CLOSELY,1,"REPORTED, NOT EVIDENT",19,0,6,0,4,7,7,7,1
FLASHING CONTROL SIGNAL,RAIN,DUSK,PEDESTRIAN,UNKNOWN INTERSECTION TYPE,LEVEL,SNOW OR SLUSH,OTHER,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",FOLLOWING TOO CLOSELY,4,"REPORTED, NOT EVIDENT",13,3,7,4,10,2,8,4,8
OTHER,BLOWING SNOW,LIGHTED ROAD,REAR TO SIDE,DRIVEWAY,LEVEL,MUD,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"OVER $1,500",WEATHER,4,FATAL,0,1,6,20,7,34,17,1,5
OTHER,FOG/SMOKE/HAZE,DUSK,REAR TO FRONT,RAMP,CURVE ON GRADE,MUD,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",EXCEEDING AUTHORIZED SPEED LIMIT,1,"REPORTED, NOT EVIDENT",12,0,3,9,5,45,22,4,8
RAILROAD CROSSING GATE,UNKNOWN,DUSK,OTHER NONCOLLISION,T-INTERSECTION,LEVEL,UNKNOWN,HOLES,NO INJURY / DRIVE AWAY,N,$500 OR LESS,IMPROPER TURNING/NO SIGNAL,10,NO INDICATION OF INJURY,12,2,5,15,1,33,16,2,5
OTHER,BLOWING SNOW,DAWN,REAR END,Y-INTERSECTION,CURVE ON GRADE,DIRT,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,1,"REPORTED, NOT EVIDENT",6,1,0,4,5,19,16,4,5
OTHER REG. SIGN,SNOW,LIGHTED ROAD,REAR END,ALLEY,STRAIGHT ON GRADE,SAND,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,7,FATAL,6,2,4,3,1,13,0,1,3
LANE USE MARKING,BLOWING SAND,DARKNESS,SIDESWIPE OPPOSITE DIRECTION,UNKNOWN,CURVE,DIRT,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",8,INCAPACITATING INJURY,13,2,2,19,6,7,13,5,1
YIELD,RAIN,DARKNESS,OTHER OBJECT,L-INTERSECTION,CURVE,OTHER,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"OVER $1,500",DRIVING ON WRONG SIDE/WRONG WAY,8,NO INDICATION OF INJURY,5,0,2,4,3,6,18,1,5
FLASHING CONTROL SIGNAL,CLOUDY/OVERCAST,DAWN,TRAIN,L-INTERSECTION,CURVE ON GRADE,UNKNOWN,HOLES,NO INJURY / DRIVE AWAY,N,$500 OR LESS,EXCEEDING AUTHORIZED SPEED LIMIT,8,"REPORTED, NOT EVIDENT",15,2,7,1,8,19,0,6,10
OTHER WARNING SIGN,FOG/SMOKE/HAZE,LIGHTED ROAD,PEDALCYCLIST,RAMP,CURVE ON HILLCREST,DRY,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,TEXTING,1,FATAL,9,1,0,11,6,40,13,2,9
SCHOOL ZONE,RAIN,DAYLIGHT,PEDALCYCLIST,ROUN,STRAIGHT ON HILLCREST,MUD,RUT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,DISREGARDING STOP SIGN,8,NO INDICATION OF INJURY,11,2,7,5,6,23,18,5,6
RR CROSSING SIGN,RAIN,DUSK,PEDALCYCLIST,ROUN,STRAIGHT ON HILLCREST,WET,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,DRIVING ON WRONG SIDE/WRONG WAY,8,INCAPACITATING INJURY,15,0,3,0,2,13,21,4,9
OTHER RAILROAD CROSSING,CLEAR,DUSK,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,DRY,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,FOLLOWING TOO CLOSELY,1,INCAPACITATING INJURY,19,2,6,13,10,41,2,7,4
PEDESTRIAN CROSSING SIGN,SEVERE CROSS WIND GATE,DAYLIGHT,REAR TO SIDE,RAMP,CURVE,OTHER,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",DISTRACTION - FROM INSIDE VEHICLE,9,INCAPACITATING INJURY,15,0,4,4,6,15,18,5,9
YIELD,SOIL,DUSK,ANIMAL,DIVIDED - W/MEDIAN (NOT RAISED),CURVE,DIRT,UNKNOWN,NO INJURY / DRIVE AWAY,N,$500 OR LESS,PHYSICAL CONDITION OF DRIVER,2,INCAPACITATING INJURY,0,2,7,17,7,44,15,2,12
OTHER REG. SIGN,SOIL,LIGHTED ROAD,SIDESWIPE OPPOSITE DIRECTION,FOUR WAY,STRAIGHT AND LEVEL,SAND,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISREGARDING ROAD MARKINGS,8,NONINCAPACITATING INJURY,10,1,7,6,2,34,11,2,1
FLASHING CONTROL SIGNAL,SOIL,DAWN,TURNING,ROUN,STRAIGHT ON HILLCREST,WET,HOLES,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,2,NO INDICATION OF INJURY,0,0,0,16,5,2,6,7,9
RAILROAD CROSSING GATE,SNOW,DUSK,SIDESWIPE OPPOSITE DIRECTION,RAMP,LEVEL,WET,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",RELATED TO BUS STOP,4,NO INDICATION OF INJURY,16,0,5,5,9,19,14,7,5
TRAFFIC SIGNAL,BLOWING SAND,DAYLIGHT,HEAD ON,ONE-WAY,STRAIGHT ON GRADE,SNOW OR SLUSH,HOLES,NO INJURY / DRIVE AWAY,N,"OVER $1,500",DRIVING ON WRONG SIDE/WRONG WAY,10,NO INDICATION OF INJURY,9,1,6,16,5,48,23,4,12
RR CROSSING SIGN,SOIL,DARKNESS,OTHER OBJECT,RAMP,CURVE,SAND,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",OBSTRUCTED CROSSWALKS,7,NO INDICATION OF INJURY,9,1,1,13,14,24,11,5,12
NO CONTROLS,UNKNOWN,DUSK,REAR TO FRONT,TRAFFIC ROUTE,CURVE,WET,HOLES,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",9,INCAPACITATING INJURY,10,3,2,15,1,39,18,3,5
NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,PEDALCYCLIST,OTHER,CURVE,DIRT,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DRIVING ON WRONG SIDE/WRONG WAY,6,NO INDICATION OF INJURY,7,1,4,1,7,3,19,6,7
OTHER REG. SIGN,SEVERE CROSS WIND GATE,LIGHTED ROAD,REAR TO SIDE,TRAFFIC ROUTE,CURVE ON HILLCREST,OTHER,HOLES,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",EXCEEDING AUTHORIZED SPEED LIMIT,5,INCAPACITATING INJURY,10,0,7,13,0,2,2,1,7
OTHER RAILROAD CROSSING,DIRT,DAYLIGHT,FIXED OBJECT,Y-INTERSECTION,LEVEL,MUD,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",BICYCLE ADVANCING LEGALLY ON RED LIGHT,5,NO INDICATION OF INJURY,2,3,3,4,4,1,20,7,10
NO CONTROLS,BLOWING SNOW,DARKNESS,HEAD ON,DIVIDED - W/MEDIAN BARRIER,CURVE ON HILLCREST,DIRT,OTHER,NO INJURY / DRIVE AWAY,N,"OVER $1,500",DISREGARDING YIELD SIGN,4,"REPORTED, NOT EVIDENT",3,3,1,10,15,46,23,2,12
OTHER REG. SIGN,DIRT,DAYLIGHT,HEAD ON,FOUR WAY,CURVE ON GRADE,DIRT,NO DEFECTS,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",ANIMAL,5,NO INDICATION OF INJURY,12,0,2,5,6,45,9,2,12
YIELD,SLEET/HAIL,LIGHTED ROAD,PEDESTRIAN,OTHER,STRAIGHT AND LEVEL,ICE,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",DISREGARDING YIELD SIGN,2,FATAL,17,1,1,8,12,34,2,4,9
NO CONTROLS,RAIN,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,PARKING LOT,STRAIGHT ON GRADE,MUD,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DISREGARDING YIELD SIGN,5,NONINCAPACITATING INJURY,11,2,5,13,9,35,6,7,10
RAILROAD CROSSING GATE,CLEAR,LIGHTED ROAD,OTHER NONCOLLISION,DRIVEWAY,STRAIGHT ON HILLCREST,DIRT,RUT,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISREGARDING ROAD MARKINGS,3,INCAPACITATING INJURY,18,3,4,18,15,41,0,3,9
NO CONTROLS,OTHER,UNKNOWN,TRAIN,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON HILLCREST,DIRT,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"OVER $1,500",IMPROPER BACKING,10,FATAL,3,3,7,5,12,37,4,5,10
NO CONTROLS,CLOUDY/OVERCAST,DUSK,TRAIN,ROUN,STRAIGHT AND LEVEL,MUD,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISREGARDING OTHER TRAFFIC SIGNS,3,NONINCAPACITATING INJURY,10,1,7,17,4,2,19,2,4
FLASHING CONTROL SIGNAL,SOIL,DAWN,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON GRADE,OTHER,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"OVER $1,500",IMPROPER BACKING,11,NONINCAPACITATING INJURY,14,2,2,2,2,20,20,7,3
POLICE/FLAGMAN,FREEZING RAIN/DRIZZLE,DAYLIGHT,OTHER NONCOLLISION,DRIVEWAY,LEVEL,UNKNOWN,NO DEFECTS,NO INJURY / DRIVE AWAY,N,$500 OR LESS,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",7,"REPORTED, NOT EVIDENT",13,1,4,16,13,34,2,1,7
OTHER REG. SIGN,SLEET/HAIL,DARKNESS,FIXED OBJECT,NOT DIVIDED,CURVE,WET,OTHER,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,6,INCAPACITATING INJURY,5,3,7,9,7,48,22,3,6
YIELD,SNOW,DAWN,REAR TO REAR,NOT DIVIDED,STRAIGHT AND LEVEL,ICE,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",TURNING RIGHT ON RED,11,NONINCAPACITATING INJURY,14,2,6,2,3,2,2,6,7
OTHER REG. SIGN,FOG/SMOKE/HAZE,UNKNOWN,ANIMAL,"FIVE POINT, OR MORE",CURVE ON HILLCREST,MUD,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",WEATHER,2,NO INDICATION OF INJURY,17,1,7,21,5,10,19,7,3
POLICE/FLAGMAN,FREEZING RAIN/DRIZZLE,DAYLIGHT,PEDESTRIAN,RAMP,STRAIGHT AND LEVEL,ICE,UNKNOWN,NO INJURY / DRIVE AWAY,N,$500 OR LESS,DISTRACTION - FROM OUTSIDE VEHICLE,3,NONINCAPACITATING INJURY,3,3,2,7,15,33,18,6,2
PEDESTRIAN CROSSING SIGN,RAIN,LIGHTED ROAD,REAR TO REAR,"FIVE POINT, OR MORE",CURVE ON HILLCREST,WET,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",BICYCLE ADVANCING LEGALLY ON RED LIGHT,2,NONINCAPACITATING INJURY,2,3,3,8,6,48,8,1,9
BICYCLE CROSSING SIGN,RAIN,LIGHTED ROAD,REAR END,ALLEY,CURVE ON GRADE,DIRT,HOLES,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),10,"REPORTED, NOT EVIDENT",14,3,7,10,0,25,7,4,6
STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,FIXED OBJECT,L-INTERSECTION,STRAIGHT ON HILLCREST,DRY,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,FAILING TO YIELD RIGHT-OF-WAY,6,NO INDICATION OF INJURY,9,0,4,1,4,16,5,6,9
BICYCLE CROSSING SIGN,CLOUDY/OVERCAST,LIGHTED ROAD,REAR TO FRONT,PARKING LOT,STRAIGHT AND LEVEL,DIRT,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,$500 OR LESS,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",3,FATAL,16,1,7,6,3,16,21,3,9
UNKNOWN,UNKNOWN,UNKNOWN,SIDESWIPE SAME DIRECTION,ALLEY,CURVE ON GRADE,SNOW OR SLUSH,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,ANIMAL,8,NONINCAPACITATING INJURY,16,3,7,21,3,33,21,4,11
NO PASSING,FREEZING RAIN/DRIZZLE,DAYLIGHT,HEAD ON,DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON HILLCREST,SNOW OR SLUSH,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,IMPROPER BACKING,11,FATAL,8,1,0,11,7,39,15,2,4
TRAFFIC SIGNAL,CLOUDY/OVERCAST,LIGHTED ROAD,OTHER NONCOLLISION,FOUR WAY,STRAIGHT ON HILLCREST,SNOW OR SLUSH,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",EXCEEDING AUTHORIZED SPEED LIMIT,8,NO INDICATION OF INJURY,11,0,0,3,9,0,22,4,7
RAILROAD CROSSING GATE,DIRT,DUSK,REAR TO SIDE,T-INTERSECTION,STRAIGHT ON GRADE,SNOW OR SLUSH,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,EQUIPMENT - VEHICLE CONDITION,7,INCAPACITATING INJURY,2,0,4,17,11,6,23,1,4
OTHER WARNING SIGN,UNKNOWN,DUSK,PARKED MOTOR VEHICLE,UNKNOWN INTERSECTION TYPE,STRAIGHT ON GRADE,DRY,RUT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,TURNING RIGHT ON RED,6,INCAPACITATING INJURY,9,1,2,0,4,19,6,6,10
TRAFFIC SIGNAL,SNOW,UNKNOWN,TURNING,DRIVEWAY,STRAIGHT AND LEVEL,OTHER,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,DISREGARDING OTHER TRAFFIC SIGNS,4,"REPORTED, NOT EVIDENT",5,3,0,1,10,39,13,5,6
OTHER REG. SIGN,FREEZING RAIN/DRIZZLE,DARKNESS,REAR TO FRONT,OTHER,LEVEL,SNOW OR SLUSH,OTHER,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",FOLLOWING TOO CLOSELY,5,NONINCAPACITATING INJURY,2,0,3,4,15,13,20,3,6
FLASHING CONTROL SIGNAL,FOG/SMOKE/HAZE,DAYLIGHT,PARKED MOTOR VEHICLE,UNKNOWN INTERSECTION TYPE,CURVE,UNKNOWN,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,IMPROPER LANE USAGE,9,FATAL,10,2,7,3,7,7,20,7,1
DELINEATORS,BLOWING SNOW,DUSK,PARKED MOTOR VEHICLE,ALLEY,STRAIGHT ON HILLCREST,MUD,OTHER,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),8,"REPORTED, NOT EVIDENT",16,2,4,10,4,31,13,4,1
TRAFFIC SIGNAL,SNOW,DAYLIGHT,REAR TO SIDE,ONE-WAY,STRAIGHT ON GRADE,WET,HOLES,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISTRACTION - FROM INSIDE VEHICLE,11,NONINCAPACITATING INJURY,7,1,7,14,7,21,11,7,5
LANE USE MARKING,BLOWING SNOW,DAYLIGHT,REAR END,ROUN,CURVE,WET,RUT,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",IMPROPER TURNING/NO SIGNAL,7,FATAL,19,1,3,16,11,19,23,4,8
POLICE/FLAGMAN,DIRT,UNKNOWN,FIXED OBJECT,"FIVE POINT, OR MORE",LEVEL,WET,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",BICYCLE ADVANCING LEGALLY ON RED LIGHT,5,"REPORTED, NOT EVIDENT",0,1,4,7,8,37,0,2,4
DELINEATORS,RAIN,LIGHTED ROAD,ANIMAL,RAMP,CURVE ON HILLCREST,UNKNOWN,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",OBSTRUCTED CROSSWALKS,1,INCAPACITATING INJURY,15,3,6,3,3,8,22,5,1
OTHER RAILROAD CROSSING,SEVERE CROSS WIND GATE,DARKNESS,TURNING,UNKNOWN,STRAIGHT ON HILLCREST,DIRT,UNKNOWN,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",TURNING RIGHT ON RED,1,FATAL,1,0,3,10,15,37,19,6,4
PEDESTRIAN CROSSING SIGN,SEVERE CROSS WIND GATE,DAYLIGHT,PARKED MOTOR VEHICLE,OTHER,STRAIGHT AND LEVEL,WET,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",RELATED TO BUS STOP,4,NONINCAPACITATING INJURY,1,3,4,6,11,28,15,6,12
UNKNOWN,CLEAR,UNKNOWN,SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,CURVE ON GRADE,SNOW OR SLUSH,HOLES,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500","DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",2,FATAL,15,1,4,10,12,24,11,3,10
FLASHING CONTROL SIGNAL,UNKNOWN,DAWN,REAR TO SIDE,DRIVEWAY,CURVE,DRY,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DISREGARDING YIELD SIGN,9,FATAL,17,2,0,16,13,16,15,4,7
RAILROAD CROSSING GATE,BLOWING SNOW,LIGHTED ROAD,ANIMAL,L-INTERSECTION,STRAIGHT ON HILLCREST,UNKNOWN,WORN SURFACE,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,7,INCAPACITATING INJURY,17,0,0,15,15,11,3,4,10
